mid_date, v [m/yr], satellite, dt (days)
2015-08-02T20:30:42.551Z,301, Landsat 7, 128 
2019-06-20T08:40:25.000Z,655, Sentinel 2, 105 
2020-03-31T20:51:49.000Z,459, Sentinel 2, 50 
2021-07-02T15:48:53.639Z,1114, Sentinel 1, 12 
2021-02-24T08:44:35.000Z,2422, Sentinel 2, 25 
2021-04-30T08:40:20.000Z,2886, Sentinel 2, 5 
2015-05-22T20:30:18.071Z,433, Landsat 7, 144 
2022-07-09T08:40:05.000Z,678, Sentinel 2, 115 
2019-07-13T08:50:30.000Z,524, Sentinel 2, 35 
2022-08-21T08:53:35.000Z,440, Sentinel 2, 155 
2010-10-04T08:17:54.041Z,263, Landsat 5, 41 
1993-04-28T07:50:13.958Z,811, Landsat 5, 41 
2001-12-09T20:19:32.344Z,723, Landsat 7, 16 
2022-11-06T08:46:35.000Z,60, Sentinel 2, 25 
2020-04-20T20:51:53.999Z,832, Sentinel 2, 90 
2005-08-23T20:12:50.076Z,449, Landsat 5, 32 
2019-05-16T20:51:56.000Z,646, Sentinel 2, 140 
2022-08-31T08:53:40.000Z,383, Sentinel 2, 135 
2007-08-12T20:20:59.820Z,588, Landsat 7, 32 
2019-01-01T20:54:36.000Z,284, Sentinel 2, 130 
2022-09-07T15:49:03.733Z,483, Sentinel 1, 12 
1996-08-17T07:50:12.282Z,303, Landsat 5, 41 
2019-07-12T20:41:19.000Z,534, Sentinel 2, 150 
2017-07-15T20:51:10.999Z,559, Sentinel 2, 140 
2000-09-24T20:27:39.786Z,516, Landsat 7, 48 
2019-04-26T20:53:06.000Z,665, Sentinel 2, 140 
2019-04-06T20:53:49.000Z,581, Sentinel 2, 130 
2004-07-03T20:13:46.641Z,617, Landsat 7, 16 
2019-10-08T08:43:35.000Z,303, Sentinel 2, 25 
2022-05-06T02:55:22.291Z,1042, Sentinel 1, 12 
2019-08-17T08:51:49.999Z,349, Sentinel 2, 95 
2018-08-04T08:40:20.000Z,410, Sentinel 2, 65 
2018-09-06T08:50:15.000Z,279, Sentinel 2, 5 
2001-01-06T20:27:18.083Z,527, Landsat 7, 160 
2019-05-04T08:50:45.000Z,711, Sentinel 2, 75 
2017-09-07T20:39:44.061Z,422, Landsat 7, 48 
2012-05-05T20:25:15.191Z,909, Landsat 7, 96 
2020-03-09T08:53:00.000Z,671, Sentinel 2, 5 
2019-01-16T20:53:24.000Z,310, Sentinel 2, 150 
2016-07-17T20:43:46.000Z,442, Sentinel 2, 80 
2022-06-21T20:40:30.999Z,850, Sentinel 2, 10 
2019-08-17T08:50:25.000Z,250, Sentinel 2, 45 
2015-09-19T20:30:52.947Z,326, Landsat 7, 32 
1993-06-18T19:53:24.858Z,1191, Landsat 5, 48 
2000-09-01T20:21:53.820Z,534, Landsat 7, 112 
2001-11-12T08:16:19.086Z,372, Landsat 7, 71 
2022-12-24T15:49:02.140Z,41, Sentinel 1, 12 
2019-08-12T08:50:30.000Z,249, Sentinel 2, 35 
2020-01-06T08:43:10.000Z,411, Sentinel 2, 155 
1997-04-30T08:01:52.831Z,819, Landsat 5, 41 
2001-07-17T20:26:22.028Z,1007, Landsat 7, 32 
2010-08-24T08:26:17.674Z,328, Landsat 7, 39 
2019-05-26T20:50:46.000Z,686, Sentinel 2, 120 
2009-05-13T20:18:41.129Z,1107, Landsat 5, 16 
2019-04-09T08:53:15.000Z,615, Sentinel 2, 115 
2003-07-31T20:25:30.416Z,414, Landsat 7, 144 
2022-06-19T20:50:24.000Z,904, Sentinel 2, 30 
2022-05-08T08:50:25.000Z,1023, Sentinel 2, 45 
2018-12-14T20:43:29.000Z,299, Sentinel 2, 150 
2013-04-22T20:26:54.765Z,908, Landsat 7, 32 
